palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	false	false	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|false|false
palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	false	true	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|false|true
palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	true	false	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|true|false
palette_key	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320	true	true	https://m.example/rest/getCoverArt.view?u=a&id=al-1&size=320|true|true
palette_key	_	false	false	|false|false
palette_key	_	false	true	|false|true
palette_key	_	true	false	|true|false
palette_key	_	true	true	|true|true
palette_key	a|b	false	false	a|b|false|false
palette_key	a|b	false	true	a|b|false|true
palette_key	a|b	true	false	a|b|true|false
palette_key	a|b	true	true	a|b|true|true
band_key	bf800000	bf800000	40000000	bf000000	-
band_key	bf800000	00000000	3f800000	00000000	-
band_key	bf800000	80000000	3f800000	80000000	-
band_key	bf800000	3089705f	3f800000	3009705f	-
band_key	bf800000	3b800000	3f7f0000	3b000000	-
band_key	bf800000	3f000000	3f000000	3e800000	-
band_key	bf800000	3e59b3d0	3f49930c	3dd9b3d0	-
band_key	bf800000	3f371759	3e91d14e	3eb71759	-
band_key	bf800000	3d93dd98	3f6d844d	3d13dd98	-
band_key	bf800000	3f666666	3dccccd0	3ee66666	-
band_key	bf800000	3f800000	00000000	3f000000	-
band_key	bf800000	407f5c29	c03f5c29	3fff5c29	-
band_key	bf800000	40800000	c0400000	40000000	-
band_key	bf800000	40a00000	c0800000	40200000	-
band_key	bf800000	7fc00000	7fc00000	7fc00000	-
band_key	bf800000	7f800000	ff800000	7f800000	-
band_key	bf800000	ff800000	7f800000	ff800000	-
band_key	00000000	bf800000	40000000	bf000000	-
band_key	00000000	00000000	3f800000	00000000	-
band_key	00000000	80000000	3f800000	80000000	-
band_key	00000000	3089705f	3f800000	3009705f	-
band_key	00000000	3b800000	3f7f0000	3b000000	-
band_key	00000000	3f000000	3f000000	3e800000	-
band_key	00000000	3e59b3d0	3f49930c	3dd9b3d0	-
band_key	00000000	3f371759	3e91d14e	3eb71759	-
band_key	00000000	3d93dd98	3f6d844d	3d13dd98	-
band_key	00000000	3f666666	3dccccd0	3ee66666	-
band_key	00000000	3f800000	00000000	3f000000	-
band_key	00000000	407f5c29	c03f5c29	3fff5c29	-
band_key	00000000	40800000	c0400000	40000000	-
band_key	00000000	40a00000	c0800000	40200000	-
band_key	00000000	7fc00000	7fc00000	7fc00000	-
band_key	00000000	7f800000	ff800000	7f800000	-
band_key	00000000	ff800000	7f800000	ff800000	-
band_key	80000000	bf800000	40000000	bf000000	-
band_key	80000000	00000000	3f800000	00000000	-
band_key	80000000	80000000	3f800000	80000000	-
band_key	80000000	3089705f	3f800000	3009705f	-
band_key	80000000	3b800000	3f7f0000	3b000000	-
band_key	80000000	3f000000	3f000000	3e800000	-
band_key	80000000	3e59b3d0	3f49930c	3dd9b3d0	-
band_key	80000000	3f371759	3e91d14e	3eb71759	-
band_key	80000000	3d93dd98	3f6d844d	3d13dd98	-
band_key	80000000	3f666666	3dccccd0	3ee66666	-
band_key	80000000	3f800000	00000000	3f000000	-
band_key	80000000	407f5c29	c03f5c29	3fff5c29	-
band_key	80000000	40800000	c0400000	40000000	-
band_key	80000000	40a00000	c0800000	40200000	-
band_key	80000000	7fc00000	7fc00000	7fc00000	-
band_key	80000000	7f800000	ff800000	7f800000	-
band_key	80000000	ff800000	7f800000	ff800000	-
band_key	3089705f	bf800000	40000000	bf000000	524288
band_key	3089705f	00000000	3f800000	00000000	262144
band_key	3089705f	80000000	3f800000	80000000	262144
band_key	3089705f	3089705f	3f800000	3009705f	262144
band_key	3089705f	3b800000	3f7f0000	3b000000	1309696
band_key	3089705f	3f000000	3f000000	3e800000	134348864
band_key	3089705f	3e59b3d0	3f49930c	3dd9b3d0	56828955
band_key	3089705f	3f371759	3e91d14e	3eb71759	191963227
band_key	3089705f	3d93dd98	3f6d844d	3d13dd98	19117065
band_key	3089705f	3f666666	3dccccd0	3ee66666	241198195
band_key	3089705f	3f800000	00000000	3f000000	268435584
band_key	3089705f	407f5c29	c03f5c29	3fff5c29	1070596606
band_key	3089705f	40800000	c0400000	40000000	1072693760
band_key	3089705f	40a00000	c0800000	40200000	1072693888
band_key	3089705f	7fc00000	7fc00000	7fc00000	0
band_key	3089705f	7f800000	ff800000	7f800000	1072694271
band_key	3089705f	ff800000	7f800000	ff800000	1047552
band_key	3b800000	bf800000	40000000	bf000000	1074266112
band_key	3b800000	00000000	3f800000	00000000	1074003968
band_key	3b800000	80000000	3f800000	80000000	1074003968
band_key	3b800000	3089705f	3f800000	3009705f	1074003968
